Entity,Code,Year,"Beans, dry | 00000176 || Production | 005510 || tonnes"
Africa,,1961,1015116
Africa,,1962,1015200
Africa,,1963,1034416
Africa,,1964,1065483
Africa,,1965,1078757
Africa,,1966,1157600
Africa,,1967,1258215
Africa,,1968,1238680
Africa,,1969,1211219
Africa,,1970,1325695
Africa,,1971,1452540
Africa,,1972,1456291
Africa,,1973,1425068
Africa,,1974,1436128
Africa,,1975,1670921
Africa,,1976,1755873
Africa,,1977,1756122
Africa,,1978,1826570
Africa,,1979,1716783
Africa,,1980,1682745
Africa,,1981,1828715
Africa,,1982,1901814
Africa,,1983,1999574
Africa,,1984,1960378
Africa,,1985,2073917
Africa,,1986,2049385
Africa,,1987,2153924
Africa,,1988,2167768
Africa,,1989,2281778
Africa,,1990,2452315
Africa,,1991,2572001
Africa,,1992,2487712.2
Africa,,1993,2513622
Africa,,1994,2249382
Africa,,1995,2493534.5
Africa,,1996,2243630.2
Africa,,1997,2274255.8
Africa,,1998,2552126.5
Africa,,1999,2675496.5
Africa,,2000,2768915
Africa,,2001,3175487.8
Africa,,2002,3337085
Africa,,2003,3158735.2
Africa,,2004,3042130.8
Africa,,2005,3413101.5
Africa,,2006,3648651.8
Africa,,2007,4077487.8
Africa,,2008,4225188
Africa,,2009,4987999.5
Africa,,2010,5256775
Africa,,2011,5793447
Africa,,2012,6203681.5
Africa,,2013,6490067
Africa,,2014,6528233.5
Africa,,2015,7194039.5
Africa,,2016,6813523
Africa,,2017,7625152.5
Africa,,2018,7145471
Africa,,2019,6857210
Africa,,2020,7394194.5
Africa,,2021,7417082.5
Africa (FAO),,1961,1025356
Africa (FAO),,1962,1020160
Africa (FAO),,1963,1040481
Africa (FAO),,1964,1076013
Africa (FAO),,1965,1089221
Africa (FAO),,1966,1168528
Africa (FAO),,1967,1265322
Africa (FAO),,1968,1242716
Africa (FAO),,1969,1213219
Africa (FAO),,1970,1329695
Africa (FAO),,1971,1456540
Africa (FAO),,1972,1461291
Africa (FAO),,1973,1429068
Africa (FAO),,1974,1440128
Africa (FAO),,1975,1676921
Africa (FAO),,1976,1761873
Africa (FAO),,1977,1760122
Africa (FAO),,1978,1836570
Africa (FAO),,1979,1719783
Africa (FAO),,1980,1686745
Africa (FAO),,1981,1832715
Africa (FAO),,1982,1903814
Africa (FAO),,1983,2003407
Africa (FAO),,1984,1964130
Africa (FAO),,1985,2075917
Africa (FAO),,1986,2051385
Africa (FAO),,1987,2156924
Africa (FAO),,1988,2170768
Africa (FAO),,1989,2284778
Africa (FAO),,1990,2455315
Africa (FAO),,1991,2575001
Africa (FAO),,1992,2490712.2
Africa (FAO),,1993,2518622
Africa (FAO),,1994,2264382
Africa (FAO),,1995,2500534.5
Africa (FAO),,1996,2251630.2
Africa (FAO),,1997,2285255.8
Africa (FAO),,1998,2563626.5
Africa (FAO),,1999,2694496.5
Africa (FAO),,2000,2799915
Africa (FAO),,2001,3225487.8
Africa (FAO),,2002,3362085
Africa (FAO),,2003,3169735.2
Africa (FAO),,2004,3056130.8
Africa (FAO),,2005,3428371.5
Africa (FAO),,2006,3664532.8
Africa (FAO),,2007,4093685.5
Africa (FAO),,2008,4242188
Africa (FAO),,2009,4999999.5
Africa (FAO),,2010,5265914
Africa (FAO),,2011,5801434
Africa (FAO),,2012,6203681.5
Africa (FAO),,2013,6490067
Africa (FAO),,2014,6528233.5
Africa (FAO),,2015,7194039.5
Africa (FAO),,2016,6813523
Africa (FAO),,2017,7625152.5
Africa (FAO),,2018,7145471
Africa (FAO),,2019,6857210
Africa (FAO),,2020,7394194.5
Africa (FAO),,2021,7417082.5
Albania,ALB,1961,9247
Albania,ALB,1962,8929
Albania,ALB,1963,14016
Albania,ALB,1964,12790
Albania,ALB,1965,8359
Albania,ALB,1966,12392
Albania,ALB,1967,13443
Albania,ALB,1968,14767
Albania,ALB,1969,12573
Albania,ALB,1970,13131
Albania,ALB,1971,13079
Albania,ALB,1972,12000
Albania,ALB,1973,11000
Albania,ALB,1974,13300
Albania,ALB,1975,10000
Albania,ALB,1976,14500
Albania,ALB,1977,16500
Albania,ALB,1978,17000
Albania,ALB,1979,18500
Albania,ALB,1980,18000
Albania,ALB,1981,20000
Albania,ALB,1982,20000
Albania,ALB,1983,19000
Albania,ALB,1984,18000
Albania,ALB,1985,16000
Albania,ALB,1986,21000
Albania,ALB,1987,18000
Albania,ALB,1988,18000
Albania,ALB,1989,24000
Albania,ALB,1990,14000
Albania,ALB,1991,12844
Albania,ALB,1992,25197
Albania,ALB,1993,23509
Albania,ALB,1994,17600
Albania,ALB,1995,20274
Albania,ALB,1996,25252
Albania,ALB,1997,20546
Albania,ALB,1998,22683
Albania,ALB,1999,26000
Albania,ALB,2000,25200
Albania,ALB,2001,22100
Albania,ALB,2002,24500
Albania,ALB,2003,17800
Albania,ALB,2004,22400
Albania,ALB,2005,23600
Albania,ALB,2006,24300
Albania,ALB,2007,20800
Albania,ALB,2008,21800
Albania,ALB,2009,23000
Albania,ALB,2010,24000
Albania,ALB,2011,25300
Albania,ALB,2012,27000
Albania,ALB,2013,28000
Albania,ALB,2014,30000
Albania,ALB,2015,28000
Albania,ALB,2016,24860
Albania,ALB,2017,21200
Albania,ALB,2018,24542
Albania,ALB,2019,24782
Albania,ALB,2020,25762
Albania,ALB,2021,22418
Algeria,DZA,1961,1037
Algeria,DZA,1962,1000
Algeria,DZA,1963,1300
Algeria,DZA,1964,1510
Algeria,DZA,1965,1088
Algeria,DZA,1966,935
Algeria,DZA,1967,745
Algeria,DZA,1968,1691
Algeria,DZA,1969,1837
Algeria,DZA,1970,1541
Algeria,DZA,1971,2494
Algeria,DZA,1972,3397
Algeria,DZA,1973,2213
Algeria,DZA,1974,3916
Algeria,DZA,1975,3480
Algeria,DZA,1976,2055
Algeria,DZA,1977,1461
Algeria,DZA,1978,1295
Algeria,DZA,1979,696
Algeria,DZA,1980,681
Algeria,DZA,1981,977
Algeria,DZA,1982,540
Algeria,DZA,1983,630
Algeria,DZA,1984,824
Algeria,DZA,1985,905
Algeria,DZA,1986,1041
Algeria,DZA,1987,900
Algeria,DZA,1988,597
Algeria,DZA,1989,558
Algeria,DZA,1990,876
Algeria,DZA,1991,487
Algeria,DZA,1992,696
Algeria,DZA,1993,586
Algeria,DZA,1994,344
Algeria,DZA,1995,308
Algeria,DZA,1996,561
Algeria,DZA,1997,646
Algeria,DZA,1998,1079
Algeria,DZA,1999,939
Algeria,DZA,2000,419
Algeria,DZA,2001,734
Algeria,DZA,2002,864
Algeria,DZA,2003,1096
Algeria,DZA,2004,1581
Algeria,DZA,2005,666
Algeria,DZA,2006,915
Algeria,DZA,2007,917
Algeria,DZA,2008,544
Algeria,DZA,2009,1159
Algeria,DZA,2010,845
Algeria,DZA,2011,953
Algeria,DZA,2012,1024
Algeria,DZA,2013,1362
Algeria,DZA,2014,1343
Algeria,DZA,2015,1421
Algeria,DZA,2016,875
Algeria,DZA,2017,1480
Algeria,DZA,2018,2811.3
Algeria,DZA,2019,1789
Algeria,DZA,2020,2047.8
Algeria,DZA,2021,3613
Americas (FAO),,1961,3925375
Americas (FAO),,1962,3748417
Americas (FAO),,1963,4111482
