Entity,Code,Year,"Peas, dry | 00000187 || Production | 005510 || tonnes"
Africa,,1961,232910
Africa,,1962,259412
Africa,,1963,251529
Africa,,1964,247556
Africa,,1965,266947
Africa,,1966,280862
Africa,,1967,275066
Africa,,1968,293310
Africa,,1969,274316
Africa,,1970,284651
Africa,,1971,318768
Africa,,1972,317368
Africa,,1973,234753
Africa,,1974,319015
Africa,,1975,278294
Africa,,1976,299490
Africa,,1977,271464
Africa,,1978,254479
Africa,,1979,275337
Africa,,1980,368450
Africa,,1981,263278
Africa,,1982,291018
Africa,,1983,256271
Africa,,1984,236357
Africa,,1985,250315
Africa,,1986,223014
Africa,,1987,228023
Africa,,1988,231500
Africa,,1989,240218
Africa,,1990,266621
Africa,,1991,366101.94
Africa,,1992,234025.03
Africa,,1993,258784.95
Africa,,1994,206009.03
Africa,,1995,268365.72
Africa,,1996,292658.34
Africa,,1997,294106.47
Africa,,1998,257546.31
Africa,,1999,248391.92
Africa,,2000,263708.1
Africa,,2001,304935.22
Africa,,2002,372041.88
Africa,,2003,347087
Africa,,2004,418914.06
Africa,,2005,381128.9
Africa,,2006,381714.62
Africa,,2007,439660.28
Africa,,2008,485521.2
Africa,,2009,504185.38
Africa,,2010,544121.3
Africa,,2011,584733.25
Africa,,2012,648166.06
Africa,,2013,741055.3
Africa,,2014,625740.25
Africa,,2015,593297.25
Africa,,2016,562898.06
Africa,,2017,577123.94
Africa,,2018,568319.4
Africa,,2019,585574.56
Africa,,2020,576615.4
Africa,,2021,573350.94
Africa (FAO),,1961,232910
Africa (FAO),,1962,259412
Africa (FAO),,1963,251529
Africa (FAO),,1964,247556
Africa (FAO),,1965,266947
Africa (FAO),,1966,280862
Africa (FAO),,1967,275066
Africa (FAO),,1968,293310
Africa (FAO),,1969,274316
Africa (FAO),,1970,284651
Africa (FAO),,1971,318768
Africa (FAO),,1972,317368
Africa (FAO),,1973,234753
Africa (FAO),,1974,319015
Africa (FAO),,1975,278294
Africa (FAO),,1976,299490
Africa (FAO),,1977,271464
Africa (FAO),,1978,254479
Africa (FAO),,1979,275337
